group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,12.0,0.14185814185814188,0.305540613232921
1,2,16.0,0.03427944604415192,0.15997074820604232
1,25,20.0,0.012846733589767645,0.15997074820604232
1,4,8.0,0.09324009324009325,0.29008029008029007
1,40,4.5,0.027892319536790392,0.15997074820604232
1,50,20.5,0.0016750644451321156,0.04690180446369924
1,6,8.0,0.020512820512820513,0.15997074820604232
12,2,27.0,0.7924575424575424,1.0
12,25,32.5,0.45773193750002705,0.7120274583333753
12,4,12.0,0.6623376623376623,0.9272727272727272
12,40,6.0,0.12554112554112554,0.3030042426327257
12,50,28.0,0.033120985294898334,0.15997074820604232
12,6,11.0,0.18065268065268064,0.3613053613053613
2,25,64.5,0.7696492768668107,1.0
2,4,23.0,0.8591408591408591,1.0
2,40,12.0,0.12920412920412921,0.3030042426327257
2,50,64.0,0.06433689430791326,0.257347577231653
2,6,23.0,0.269847799259564,0.468513053679294
25,4,32.0,0.8230134158926727,1.0
25,40,18.0,0.129858961128311,0.3030042426327257
25,50,101.5,0.09150582143587295,0.29008029008029007
25,6,33.0,0.25452356381148955,0.468513053679294
4,40,12.0,1.0,1.0
4,50,53.0,0.927783971262232,1.0
4,6,17.0,1.0,1.0
40,50,73.0,0.28445435401957136,0.468513053679294
40,6,21.0,0.638888888888889,0.9272727272727272
50,6,75.0,0.9404823229410936,1.0
