group1,group2,meandiff,p-adj,lower,upper,reject
1,12,0.7603,0.7683,-0.7571,2.2777,False
1,2,1.1967,0.1101,-0.136,2.5295,False
1,25,1.4133,0.0153,0.168,2.6585,True
1,4,1.6765,0.0338,0.0748,3.2783,True
1,40,1.8897,0.01,0.288,3.4915,True
1,50,1.5863,0.0015,0.4263,2.7463,True
1,6,2.1878,0.0003,0.7337,3.642,True
12,2,0.4364,0.9809,-1.0145,1.8873,False
12,25,0.653,0.8107,-0.718,2.024,False
12,4,0.9162,0.6977,-0.7851,2.6176,False
12,40,1.1294,0.441,-0.5719,2.8308,False
12,50,0.826,0.4925,-0.468,2.1201,False
12,6,1.4275,0.0984,-0.1356,2.9907,False
2,25,0.2165,0.999,-0.9468,1.3799,False
2,4,0.4798,0.9766,-1.0591,2.0187,False
2,40,0.693,0.8507,-0.8459,2.2319,False
2,50,0.3896,0.9463,-0.682,1.4611,False
2,6,0.9911,0.3431,-0.3935,2.3757,False
25,4,0.2633,0.9992,-1.2005,1.7271,False
25,40,0.4765,0.9702,-0.9873,1.9403,False
25,50,0.173,0.9992,-0.7875,1.1336,False
25,6,0.7746,0.5813,-0.5261,2.0752,False
4,40,0.2132,0.9999,-1.5638,1.9902,False
4,50,-0.0902,1.0,-1.4822,1.3018,False
4,6,0.5113,0.977,-1.1339,2.1565,False
40,50,-0.3034,0.9972,-1.6954,1.0886,False
40,6,0.2981,0.9992,-1.3471,1.9433,False
50,6,0.6015,0.7819,-0.6177,1.8208,False
