group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,8.0,0.012194288482674197,0.11381335917162584
1,2,36.0,0.4338480657664392,0.7592341150912686
1,25,28.0,0.023219719041446114,0.13003042663209824
1,4,16.0,0.2683816272927607,0.6262237970164417
1,40,12.0,0.08089265412686569,0.2516660350613599
1,50,40.0,0.011896835155536396,0.11381335917162584
1,6,8.0,0.007136605220209889,0.11381335917162584
12,2,46.0,0.0409456971929358,0.1637827887717432
12,25,46.5,0.7293200246120981,0.8168384275655498
12,4,20.0,0.3702865323667437,0.7112561925652516
12,40,17.5,0.7010289402278836,0.8168384275655498
12,50,66.0,1.0,1.0
12,6,17.0,0.6116422814255609,0.7784538127234412
2,25,43.5,0.06967831941548173,0.2438741179541861
2,4,22.0,0.6047728544859003,0.7784538127234412
2,40,17.5,0.22033473554075989,0.6169372595141277
2,50,62.0,0.02991131509585469,0.13958613711398857
2,6,14.0,0.019136708854110035,0.13003042663209824
25,4,44.0,0.3810301031599562,0.7112561925652516
25,40,39.5,0.6888329689408341,0.8168384275655498
25,50,145.5,0.783755551075777,0.8266944965831394
25,6,40.0,0.5088534875284044,0.7784538127234412
4,40,11.0,0.7971696931337416,0.8266944965831394
4,50,38.0,0.2670578031805958,0.6262237970164417
4,6,11.0,0.2973210559961684,0.6403838129148243
40,50,46.5,0.5962978534245598,0.7784538127234412
40,6,13.0,0.4997732979664842,0.7784538127234412
50,6,66.0,0.5786688397494211,0.7784538127234412
