group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,39.0,0.05927405927405928,0.27661227661227666
1,2,56.0,0.17281411399058458,0.4945401844355562
1,25,100.0,0.0016136598179941832,0.04518247490383713
1,4,27.0,0.3543123543123543,0.5600963192294461
1,40,27.0,0.3543123543123543,0.5600963192294461
1,50,133.0,0.03680812304555987,0.2635356767932132
1,6,51.0,0.005905205905205905,0.08267288267288268
12,2,20.0,0.31318681318681324,0.5600963192294461
12,25,39.0,0.8411248710010321,0.9058267841549575
12,4,9.0,0.32900432900432897,0.5600963192294461
12,40,11.0,0.5367965367965368,0.6666666666666667
12,50,53.5,0.5010794573232364,0.6666666666666667
12,6,23.0,0.8356643356643356,0.9058267841549575
2,25,106.0,0.03764795382760189,0.2635356767932132
2,4,24.0,0.9530469530469531,0.9530469530469531
2,40,26.0,0.9530469530469531,0.9530469530469531
2,50,132.0,0.3818896271647031,0.5627847137164045
2,6,55.0,0.055327025915261216,0.27661227661227666
25,4,19.0,0.1560027519779842,0.4945401844355562
25,40,26.0,0.4439284485724114,0.6214998280013759
25,50,123.0,0.32218429863225484,0.5600963192294461
25,6,62.0,0.360061919504644,0.5600963192294461
4,40,16.0,0.5476190476190477,0.6666666666666667
4,50,75.0,0.22325819826922821,0.5600963192294461
4,6,28.0,0.10606060606060606,0.42424242424242425
40,50,61.0,0.7312125173423081,0.8530812702326928
40,6,24.0,0.3434343434343435,0.5600963192294461
50,6,104.0,0.17662149444127007,0.4945401844355562
