group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,40.0,0.042624042624042624,0.1989121989121989
1,2,57.0,0.14571049865167512,0.4079893962246903
1,25,100.0,0.0016136598179941832,0.04518247490383713
1,4,28.0,0.28438228438228436,0.5308469308469308
1,40,28.0,0.28438228438228436,0.5308469308469308
1,50,130.0,0.05151919885293103,0.2060767954117241
1,6,51.0,0.005905205905205905,0.08267288267288268
12,2,18.0,0.2197802197802198,0.5308469308469308
12,25,40.0,0.9043859649122807,0.9378817413905134
12,4,8.0,0.24675324675324672,0.5308469308469308
12,40,11.0,0.5367965367965368,0.6831955922865014
12,50,52.5,0.4660883507398136,0.6214511343197514
12,6,23.0,0.8356643356643356,0.9252286175363098
2,25,107.0,0.03258000778750234,0.1824480436100131
2,4,23.0,0.8591408591408591,0.9252286175363098
2,40,26.0,0.9530469530469531,0.9530469530469531
2,50,130.0,0.42773208326629275,0.6214511343197514
2,6,59.0,0.01851090086384204,0.17276840806252572
25,4,15.0,0.07000343997248022,0.24501203990368078
25,40,26.0,0.4439284485724114,0.6214511343197514
25,50,117.0,0.23612454329643817,0.5308469308469308
25,6,61.0,0.4002579979360166,0.6214511343197514
4,40,14.0,0.8412698412698413,0.9252286175363098
4,50,71.0,0.33300328865021755,0.5656565656565657
4,6,31.0,0.030303030303030304,0.1824480436100131
40,50,60.0,0.7786673408422857,0.9252286175363098
40,6,24.0,0.3434343434343435,0.5656565656565657
50,6,107.0,0.13252977924559106,0.4079893962246903
