group1,group2,meandiff,p-adj,lower,upper,reject
1,12,-1.1482,0.9993,-7.6692,5.3729,False
1,2,2.3497,0.9023,-3.3778,8.0772,False
1,25,1.3111,0.9943,-4.0404,6.6626,False
1,4,2.1701,0.9751,-4.7135,9.0537,False
1,40,-0.3823,1.0,-7.2659,6.5013,False
1,50,3.5927,0.3345,-1.3924,8.5779,False
1,6,0.3701,1.0,-5.8791,6.6193,False
12,2,3.4979,0.6527,-2.7374,9.7332,False
12,25,2.4593,0.894,-3.4325,8.3511,False
12,4,3.3183,0.8456,-3.9933,10.6298,False
12,40,0.7659,1.0,-6.5457,8.0774,False
12,50,4.7409,0.1514,-0.8203,10.302,False
12,6,1.5182,0.9965,-5.1995,8.2359,False
2,25,-1.0386,0.998,-6.0379,3.9608,False
2,4,-0.1796,1.0,-6.7931,6.4339,False
2,40,-2.732,0.8991,-9.3455,3.8815,False
2,50,1.243,0.9898,-3.362,5.8481,False
2,6,-1.9796,0.9665,-7.9301,3.9708,False
25,4,0.859,0.9999,-5.4318,7.1497,False
25,40,-1.6934,0.99,-7.9842,4.5973,False
25,50,2.2816,0.6695,-1.8465,6.4097,False
25,6,-0.9411,0.9995,-6.5305,4.6484,False
4,40,-2.5524,0.9656,-10.1891,5.0843,False
4,50,1.4226,0.9953,-4.5595,7.4048,False
4,6,-1.8,0.9928,-8.8702,5.2701,False
40,50,3.975,0.4397,-2.0071,9.9572,False
40,6,0.7524,1.0,-6.3178,7.8225,False
50,6,-3.2227,0.5407,-8.4624,2.0171,False
