group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,31.0,0.3885809910526502,0.5587298487109648
1,2,37.0,0.8210975835519595,0.8842589361328794
1,25,89.0,0.02147706861241338,0.1297471580283634
1,4,12.0,0.26827251505517324,0.4694769013465532
1,40,38.0,0.010100779669382973,0.1297471580283634
1,50,98.5,0.6384490366438078,0.7448572094177758
1,6,24.0,0.6771523864894174,0.7584106728681475
12,2,22.5,0.4377586729619217,0.5587298487109648
12,25,56.5,0.22547078956280098,0.45992760137146016
12,4,8.0,0.22996380068573008,0.45992760137146016
12,40,27.0,0.034926255949542,0.139705023798168
12,50,65.5,1.0,1.0
12,6,13.0,0.26760323817222964,0.4694769013465532
2,25,100.5,0.07299804543011548,0.19971258545592416
2,4,17.0,0.35311643277059146,0.5587298487109648
2,40,47.0,0.008168219098263277,0.1297471580283634
2,50,129.5,0.4390020239871866,0.5587298487109648
2,6,33.5,0.920540614399133,0.9546347112287306
25,4,16.0,0.07845851571482734,0.19971258545592416
25,40,57.0,0.04084914800814322,0.14297201802850126
25,50,139.0,0.6357098686910498,0.7448572094177758
25,6,20.0,0.02665071295003288,0.1297471580283634
4,40,23.5,0.027802962434649296,0.1297471580283634
4,50,79.5,0.13364467085642182,0.3118375653316509
4,6,23.5,0.3658186876793772,0.5587298487109648
40,50,23.0,0.04896481566639935,0.1523349820732424
40,6,2.0,0.014330459545292737,0.1297471580283634
50,6,60.0,0.39946351442373784,0.5587298487109648
