group1,group2,meandiff,p-adj,lower,upper,reject
1,12,-12.7536,0.4898,-32.6923,7.1851,False
1,2,-19.0115,0.024,-36.5238,-1.4991,True
1,25,-19.1369,0.0111,-35.4996,-2.7742,True
1,4,-15.6365,0.2969,-36.6837,5.4108,False
1,40,-24.6901,0.0107,-45.7373,-3.6428,True
1,50,-18.7298,0.0062,-33.9724,-3.4873,True
1,6,-18.0771,0.0768,-37.1846,1.0304,False
12,2,-6.2579,0.9688,-25.3229,12.8071,False
12,25,-6.3833,0.953,-24.3981,11.6314,False
12,4,-2.8829,0.9999,-25.2386,19.4728,False
12,40,-11.9365,0.7067,-34.2922,10.4192,False
12,50,-5.9763,0.955,-22.98,11.0275,False
12,6,-5.3235,0.992,-25.8635,15.2164,False
2,25,-0.1254,1.0,-15.4115,15.1606,False
2,4,3.375,0.9995,-16.8465,23.5965,False
2,40,-5.6786,0.9871,-25.9001,14.5429,False
2,50,0.2816,1.0,-13.7988,14.3621,False
2,6,0.9343,1.0,-17.2597,19.1283,False
25,4,3.5004,0.9991,-15.734,22.7349,False
25,40,-5.5532,0.9849,-24.7876,13.6813,False
25,50,0.4071,1.0,-12.215,13.0291,False
25,6,1.0598,1.0,-16.0305,18.1501,False
4,40,-9.0536,0.9257,-32.4034,14.2962,False
4,50,-3.0934,0.9995,-21.3844,15.1976,False
4,6,-2.4407,1.0,-24.0583,19.177,False
40,50,5.9602,0.9701,-12.3308,24.2512,False
40,6,6.6129,0.9789,-15.0047,28.2306,False
50,6,0.6527,1.0,-15.3683,16.6738,False
