group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,14.5,0.2437177732894451,0.34120488260522314
1,2,11.0,0.010830569686182538,0.03790699390163888
1,25,15.0,0.005583788022300079,0.03790699390163888
1,4,4.0,0.02289232181475177,0.0712205567570055
1,40,1.5,0.008325968223194397,0.03790699390163888
1,50,10.5,0.00030156286904714063,0.008443760333319937
1,6,12.5,0.076552434549849,0.19486074249052474
12,2,22.0,0.41072824824967014,0.4791829562912818
12,25,29.0,0.30090774987338775,0.401210333164517
12,4,8.0,0.2331971402479267,0.34120488260522314
12,40,6.5,0.14321461201761468,0.2673339424328807
12,50,26.0,0.02687053523564375,0.07523749865980249
12,6,20.5,1.0,1.0
2,25,53.5,0.3465116310874483,0.42954998245716813
2,4,15.0,0.23952384337945498,0.34120488260522314
2,40,13.0,0.15450606970466044,0.2699451402470274
2,50,40.5,0.004979778064128581,0.03790699390163888
2,6,49.5,0.1638952637214095,0.2699451402470274
25,4,24.5,0.3528446284469595,0.42954998245716813
25,40,37.0,0.8890660045147227,0.9219943750523051
25,50,72.5,0.008382463760406255,0.03790699390163888
25,6,72.0,0.09099554949930004,0.2123229488317001
4,40,14.5,0.7532980334628383,0.8112440360369028
4,50,43.5,0.49200009878178286,0.5510401106355968
4,6,27.5,0.11497558633924772,0.22995117267849544
40,50,28.5,0.10434846646772651,0.2247505431612571
40,6,33.5,0.010119352842066274,0.03790699390163888
50,6,136.0,0.0028176754753438393,0.03790699390163888
