group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,2.0,0.002664002664002664,0.037296037296037296
1,2,33.0,0.5726038667215138,0.8438372772738097
1,25,19.0,0.010251117991056071,0.057406260749914
1,4,6.0,0.04506604506604507,0.14020547353880689
1,40,2.0,0.006216006216006216,0.057406260749914
1,50,17.0,0.00035025222431519284,0.0098070622808254
1,6,12.0,0.0721056721056721,0.19156600974782792
12,2,50.0,0.031218781218781223,0.10926573426573429
12,25,40.0,0.9043859649122807,0.9378817413905134
12,4,17.0,0.7922077922077921,0.9378817413905134
12,40,15.0,1.0,1.0
12,50,70.0,0.8487073313160272,0.9378817413905134
12,6,28.0,0.36596736596736595,0.6831390831390831
2,25,29.0,0.017719058658581793,0.07725607725607725
2,4,10.0,0.07525807525807525,0.19156600974782792
2,40,6.0,0.019314019314019312,0.07725607725607725
2,50,45.0,0.008733905091029585,0.057406260749914
2,6,21.0,0.19323323735088443,0.4240268847079993
25,4,45.0,0.391296869625043,0.6847695218438253
25,40,37.0,0.893188854489164,0.9378817413905134
25,50,167.0,0.6850183617449476,0.9133578156599301
25,6,67.0,0.19686962504299968,0.4240268847079993
4,40,8.0,0.42063492063492064,0.69281045751634
4,50,52.0,0.8799454973368015,0.9378817413905134
4,6,21.0,0.638888888888889,0.8944444444444445
40,50,59.0,0.8324538585408149,0.9378817413905134
40,6,25.0,0.26767676767676774,0.5353535353535355
50,6,89.0,0.5660759363907789,0.8438372772738097
