group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,0.0,0.0023880570242425293,0.013373119335758164
1,2,17.0,0.04547761092322604,0.08489154039002195
1,25,3.0,0.00033803374434544445,0.004732472420836222
1,4,1.0,0.006690879560809119,0.026763518243236476
1,40,2.0,0.010309737991308444,0.032074740417404046
1,50,14.0,0.0005660528432569153,0.005283159870397876
1,6,4.0,0.006488264263080237,0.026763518243236476
12,2,60.0,0.00024975024975024975,0.004732472420836222
12,25,44.0,0.9043859649122807,0.9378817413905134
12,4,23.0,0.17748917748917747,0.2615629984051036
12,40,17.0,0.7922077922077921,0.853146853146853
12,50,108.0,0.017083399692095342,0.039861265948222466
12,6,38.0,0.013986013986013986,0.03560076287349015
2,25,12.0,0.0007603058428726097,0.005322140900108268
2,4,5.0,0.012654012654012654,0.03543123543123543
2,40,6.0,0.019314019314019312,0.041599426214810824
2,50,59.0,0.04006123535585869,0.08012247071171738
2,6,15.0,0.055327025915261216,0.09682229535170714
25,4,44.0,0.4439284485724114,0.51791652333448
25,40,45.0,0.391296869625043,0.4980141977046002
25,50,236.0,0.008176985120374099,0.028619447921309348
25,6,72.0,0.09377364981080152,0.1544507173354378
4,40,12.0,1.0,1.0
4,50,78.0,0.16529171311780005,0.25712044262768896
4,6,24.0,0.3434343434343435,0.457912457912458
40,50,72.0,0.31353895701721785,0.438954539824105
40,6,23.0,0.4318181818181819,0.51791652333448
50,6,68.0,0.671825625648714,0.7524447007265596
