group1,group2,meandiff,p-adj,lower,upper,reject
1,12,15.8074,0.8151,-17.5696,49.1844,False
1,2,-5.8764,0.9984,-35.1917,23.439,False
1,25,15.8638,0.6154,-11.5272,43.2547,False
1,4,8.1588,0.996,-27.074,43.3915,False
1,40,14.9744,0.8848,-20.2584,50.2071,False
1,50,16.8543,0.4476,-8.6614,42.3701,False
1,6,7.9482,0.9938,-24.0375,39.9339,False
12,2,-21.6838,0.4105,-53.5983,10.2308,False
12,25,0.0563,1.0,-30.1001,30.2127,False
12,4,-7.6487,0.9982,-45.0718,29.7745,False
12,40,-0.8331,1.0,-38.2562,36.5901,False
12,50,1.0469,1.0,-27.4171,29.511,False
12,6,-7.8592,0.9963,-42.2428,26.5244,False
2,25,21.7401,0.1543,-3.8485,47.3287,False
2,4,14.0351,0.8973,-19.8154,47.8856,False
2,40,20.8507,0.5387,-12.9998,54.7012,False
2,50,22.7307,0.0666,-0.8398,46.3011,False
2,6,13.8245,0.8455,-16.632,44.281,False
25,4,-7.705,0.9951,-39.9032,24.4932,False
25,40,-0.8894,1.0,-33.0876,31.3088,False
25,50,0.9906,1.0,-20.1385,22.1197,False
25,6,-7.9156,0.9882,-36.5245,20.6933,False
4,40,6.8156,0.9993,-32.2716,45.9028,False
4,50,8.6956,0.9863,-21.9233,39.3145,False
4,6,-0.2106,1.0,-36.3983,35.9771,False
40,50,1.88,1.0,-28.7389,32.4989,False
40,6,-7.0262,0.9987,-43.2139,29.1615,False
50,6,-8.9062,0.9668,-35.7252,17.9129,False
