group1,group2,meandiff,p-adj,lower,upper,reject
1,12,16.2502,0.7823,-16.7023,49.2027,False
1,2,-6.4149,0.9969,-35.3575,22.5276,False
1,25,15.5092,0.627,-11.5334,42.5517,False
1,4,12.4104,0.9513,-22.3742,47.195,False
1,40,14.4462,0.8965,-20.3384,49.2308,False
1,50,16.8503,0.431,-8.3409,42.0416,False
1,6,7.1558,0.9965,-24.4231,38.7347,False
12,2,-22.6651,0.3368,-54.1738,8.8435,False
12,25,-0.741,1.0,-30.5139,29.0318,False
12,4,-3.8398,1.0,-40.787,33.1073,False
12,40,-1.804,1.0,-38.7512,35.1431,False
12,50,0.6001,1.0,-27.5019,28.7021,False
12,6,-9.0944,0.9902,-43.0407,24.8519,False
2,25,21.9241,0.1363,-3.339,47.1872,False
2,4,18.8253,0.648,-14.5947,52.2453,False
2,40,20.8611,0.5216,-12.5589,54.2811,False
2,50,23.2653,0.0501,-0.0054,46.5359,False
2,6,13.5707,0.8493,-16.4984,43.6399,False
25,4,-3.0988,1.0,-34.8875,28.6899,False
25,40,-1.063,1.0,-32.8517,30.7257,False
25,50,1.3412,1.0,-19.5192,22.2015,False
25,6,-8.3534,0.9826,-36.5984,19.8917,False
4,40,2.0358,1.0,-36.5543,40.6259,False
4,50,4.44,0.9998,-25.7895,34.6695,False
4,6,-5.2546,0.9998,-40.982,30.4729,False
40,50,2.4042,1.0,-27.8253,32.6337,False
40,6,-7.2904,0.9982,-43.0178,28.4371,False
50,6,-9.6945,0.9443,-36.1725,16.7834,False
