group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,16.5,0.25765340630115197,0.5549457981870966
1,2,30.0,0.28540361404495773,0.5708072280899155
1,25,44.5,0.3387948718691097,0.6324170941556715
1,4,12.0,0.1799356172025578,0.41984977347263486
1,40,6.5,0.030025055018502965,0.14011692341968052
1,50,27.5,0.0041440116907590935,0.10362654005801349
1,6,18.0,0.15825633543736328,0.40283430838601564
12,2,32.0,0.8577144806607083,1.0
12,25,43.5,0.9258296992974606,1.0
12,4,15.0,1.0,1.0
12,40,6.5,0.13492355198692385,0.3886168675861073
12,50,24.5,0.021075289978781716,0.14011692341968052
12,6,18.0,0.697827173063429,1.0
2,25,72.0,0.9195660067841417,1.0
2,4,23.0,0.8420567473022875,1.0
2,40,13.0,0.13763825510818278,0.3886168675861073
2,50,53.0,0.02019328738754197,0.14011692341968052
2,6,31.0,0.7021580973153347,1.0
25,4,32.0,0.7966793367383491,1.0
25,40,17.5,0.08878028320244559,0.35512113280978236
25,50,72.5,0.007401895718429534,0.10362654005801349
25,6,41.0,0.5219769042884823,0.913459582504844
4,40,5.0,0.13879173842360976,0.3886168675861073
4,50,19.0,0.02623862023798709,0.14011692341968052
4,6,16.0,0.8623740545310402,1.0
40,50,55.5,1.0,1.0
40,6,18.0,1.0,1.0
50,6,87.0,0.6258765227698377,1.0
