group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,18.5,0.5181448319144508,0.835016835016835
1,2,25.0,0.20307143836555602,0.4738333561862974
1,25,36.0,0.1875973355849517,0.4738333561862974
1,4,10.0,0.17094017094017094,0.4738333561862974
1,40,14.0,0.43512043512043513,0.7614607614607616
1,50,32.0,0.0072175877873029304,0.20209245804448206
1,6,9.0,0.028904428904428903,0.3091291960857178
12,2,28.0,0.8748751248751249,1.0
12,25,43.0,0.9679566563467492,1.0
12,4,11.0,0.5367965367965368,0.835016835016835
12,40,14.0,0.9307359307359306,1.0
12,50,28.0,0.033120985294898334,0.3091291960857178
12,6,10.0,0.13752913752913754,0.4278684278684279
2,25,71.0,0.9766436686336611,1.0
2,4,25.0,1.0,1.0
2,40,27.0,0.8591408591408591,1.0
2,50,63.0,0.05869194425622301,0.3277800630741808
2,6,16.0,0.0702385849444673,0.3277800630741808
25,4,32.0,0.8230134158926727,1.0
25,40,37.5,0.853036650846599,1.0
25,50,100.0,0.08251128336186839,0.33004513344747355
25,6,32.0,0.22447540419676645,0.4834854859622662
4,40,15.0,0.6904761904761905,1.0
4,50,37.0,0.28445435401957136,0.5689087080391427
4,6,11.0,0.3434343434343435,0.6410774410774411
40,50,29.0,0.11348940914158305,0.3972129319955407
40,6,5.0,0.04797979797979798,0.3277800630741808
50,6,71.0,0.7841566396289035,1.0
