group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,15.0,0.2823842823842824,0.5951152390780874
1,2,27.0,0.2742812742812743,0.5951152390780874
1,25,46.0,0.5251712168120837,0.8679117710535907
1,4,7.0,0.06526806526806528,0.36282561800752555
1,40,12.0,0.28438228438228436,0.5951152390780874
1,50,28.0,0.0052588380771753955,0.14724746616091108
1,6,19.0,0.33566433566433573,0.6265734265734267
12,2,28.0,0.8748751248751249,0.9810945083907258
12,25,47.0,0.7180598555211559,0.9138943615723802
12,4,6.0,0.12554112554112554,0.4393939393939394
12,40,15.0,1.0,1.0
12,50,34.0,0.07774834671589832,0.36282561800752555
12,6,21.0,1.0,1.0
2,25,79.0,0.6186891374327621,0.8944444444444445
2,4,15.0,0.2544122544122544,0.5951152390780874
2,40,21.0,0.6786546786546787,0.9048729048729048
2,50,70.0,0.10826280267170359,0.43305121068681435
2,6,41.5,0.5579432813915941,0.8679117710535907
25,4,23.0,0.2975576195390437,0.5951152390780874
25,40,32.0,0.8230134158926727,0.9810945083907258
25,50,98.0,0.0716887481948201,0.36282561800752555
25,6,48.0,0.9710182318541453,1.0
4,40,16.0,0.5476190476190477,0.8679117710535907
4,50,58.0,0.8759772396345766,0.9810945083907258
4,6,29.0,0.07323232323232323,0.36282561800752555
40,50,34.0,0.20062241461550068,0.5951152390780874
40,6,21.0,0.638888888888889,0.8944444444444445
50,6,119.0,0.03440469609407175,0.36282561800752555
