group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,9.0,0.05922628743763495,0.1842595609170865
1,2,20.0,0.07902975679139265,0.20116665365081768
1,25,23.5,0.027474239016943514,0.12821311541240307
1,4,8.0,0.08826283890185847,0.20594662410433645
1,40,4.0,0.022704184640876996,0.12714343398891118
1,50,14.5,0.0006009419356795251,0.014423760095366223
1,6,12.0,0.06850971593297848,0.19182720461233976
12,2,45.0,0.11201745592068242,0.22403491184136484
12,25,46.5,0.7396653642294173,0.8284252079369473
12,4,17.0,0.7812626853256862,0.8413598149661236
12,40,11.0,0.5189924682098411,0.6605358686307069
12,50,38.5,0.12886758279221253,0.24055282121213006
12,6,25.5,0.5543510734217848,0.6748621763395641
2,25,51.5,0.28745142126169965,0.42053401189450834
2,4,18.5,0.4559240791970882,0.6078987722627843
2,40,8.0,0.04199407362299142,0.14697925768047
2,50,29.0,0.0010302685782404444,0.014423760095366223
2,6,23.0,0.2522258101262772,0.3923512601964312
25,4,36.0,0.9627669529431364,0.9627669529431364
25,40,20.0,0.17754067550658503,0.31069618213652384
25,50,65.0,0.003976890297560229,0.03711764277722881
25,6,54.0,0.7333020381832176,0.8284252079369473
4,40,6.5,0.24915263858192682,0.3923512601964312
4,50,22.0,0.041773536033718243,0.14697925768047
4,6,18.5,0.9331499789497335,0.9627669529431364
40,50,38.0,0.300381437067506,0.42053401189450834
40,6,28.0,0.09890866085596386,0.21303403876669139
50,6,130.5,0.006616603170793437,0.04631622219555406
