group1,group2,meandiff,p-adj,lower,upper,reject
1,2,0.6213,0.2402,-0.1754,1.4181,False
1,4,0.7138,0.2926,-0.2437,1.6714,False
1,6,1.0034,0.0128,0.1341,1.8727,True
1,12,0.5158,0.6372,-0.3913,1.4228,False
1,25,0.6882,0.0905,-0.0562,1.4327,False
1,40,1.3046,0.0016,0.3471,2.2622,True
1,50,0.9743,0.001,0.2809,1.6678,True
2,4,0.0925,1.0,-0.8275,1.0125,False
2,6,0.382,0.834,-0.4457,1.2098,False
2,12,-0.1056,0.9999,-0.973,0.7618,False
2,25,0.0669,1.0,-0.6285,0.7623,False
2,40,0.6833,0.2971,-0.2367,1.6033,False
2,50,0.353,0.6728,-0.2876,0.9936,False
4,6,0.2895,0.9831,-0.6939,1.273,False
4,12,-0.1981,0.9987,-1.2152,0.819,False
4,25,-0.0256,1.0,-0.9007,0.8495,False
4,40,0.5908,0.6625,-0.4715,1.6531,False
4,50,0.2605,0.976,-0.5717,1.0926,False
6,12,-0.4876,0.73,-1.4221,0.4468,False
6,25,-0.3151,0.9078,-1.0927,0.4624,False
6,40,0.3013,0.9788,-0.6822,1.2847,False
6,50,-0.0291,1.0,-0.7579,0.6998,False
12,25,0.1725,0.9978,-0.6471,0.9921,False
12,40,0.7889,0.2463,-0.2282,1.806,False
12,50,0.4586,0.587,-0.315,1.2322,False
25,40,0.6164,0.3636,-0.2587,1.4915,False
25,50,0.2861,0.7734,-0.2881,0.8603,False
40,50,-0.3303,0.9166,-1.1625,0.5018,False
