group1,group2,meandiff,p-adj,lower,upper,reject
1,2,-12.3697,0.2394,-28.2191,3.4797,False
1,3,-13.505,0.3008,-31.7426,4.7327,False
1,6,-11.863,0.4151,-29.3852,5.6592,False
1,11,-6.7821,0.9537,-25.9767,12.4125,False
1,21,-14.6993,0.0644,-29.8739,0.4754,False
1,40,-19.1319,0.0514,-38.3265,0.0627,False
1,50,-16.4606,0.0124,-30.6859,-2.2354,True
2,3,-1.1352,1.0,-17.7722,15.5018,False
2,6,0.5067,1.0,-15.3427,16.3561,False
2,11,5.5877,0.9747,-12.0931,23.2684,False
2,21,-2.3295,0.9993,-15.5374,10.8783,False
2,40,-6.7621,0.9306,-24.4429,10.9186,False
2,50,-4.0909,0.9635,-16.1961,8.0143,False
3,6,1.642,1.0,-16.5957,19.8796,False
3,11,6.7229,0.9631,-13.127,26.5727,False
3,21,-1.1943,1.0,-17.1898,14.8011,False
3,40,-5.6269,0.9864,-25.4768,14.2229,False
3,50,-2.9557,0.9986,-18.0535,12.1421,False
6,11,5.0809,0.9909,-14.1137,24.2755,False
6,21,-2.8363,0.999,-18.0109,12.3384,False
6,40,-7.2689,0.9339,-26.4635,11.9257,False
6,50,-4.5976,0.9714,-18.8229,9.6276,False
11,21,-7.9172,0.8309,-24.9957,9.1613,False
11,40,-12.3498,0.581,-33.0823,8.3827,False
11,50,-9.6786,0.5805,-25.9194,6.5622,False
21,40,-4.4326,0.9919,-21.5111,12.6459,False
21,50,-1.7614,0.9997,-12.9686,9.4459,False
40,50,2.6712,0.9996,-13.5696,18.912,False
