group1,group2,meandiff,p-adj,lower,upper,reject
1,2,4.1441,0.5035,-2.4027,10.691,False
1,4,5.1012,0.4721,-2.7671,12.9695,False
1,6,2.7093,0.9334,-4.4338,9.8525,False
1,12,2.4878,0.9659,-4.9661,9.9417,False
1,25,3.7757,0.5361,-2.3414,9.8927,False
1,40,3.233,0.9016,-4.6353,11.1013,False
1,50,8.2174,0.0007,2.5192,13.9157,True
2,4,0.9571,0.9999,-6.6025,8.5167,False
2,6,-1.4348,0.9978,-8.2365,5.3669,False
2,12,-1.6563,0.9959,-8.7836,5.471,False
2,25,-0.3684,1.0,-6.083,5.3461,False
2,40,-0.9111,0.9999,-8.4707,6.6485,False
2,50,4.0733,0.249,-1.1905,9.3372,False
4,6,-2.3919,0.9826,-10.4735,5.6897,False
4,12,-2.6134,0.9762,-10.9709,5.7441,False
4,25,-1.3255,0.9991,-8.5162,5.8651,False
4,40,-1.8682,0.9975,-10.5973,6.8609,False
4,50,3.1162,0.8428,-3.7217,9.9542,False
6,12,-0.2215,1.0,-7.9002,7.4571,False
6,25,1.0664,0.9995,-5.3227,7.4554,False
6,40,0.5237,1.0,-7.5579,8.6053,False
6,50,5.5081,0.0939,-0.4812,11.4974,False
12,25,1.2879,0.9988,-5.4467,8.0226,False
12,40,0.7452,1.0,-7.6123,9.1027,False
12,50,5.7297,0.1074,-0.6271,12.0864,False
25,40,-0.5427,1.0,-7.7333,6.648,False
25,50,4.4417,0.0797,-0.2769,9.1604,False
40,50,4.9844,0.3202,-1.8535,11.8224,False
