site,location,ab,elevation,year,age,ageclassn,ageclass,annual,perennial,total,native,nonnative,wetland,conserve,nrich,nnrich,trich,cactus,fern,forb,grass,tree,shrub,subshrub,vine,crust
50MAL1,50M,above,3735,2022,50,50,> 50,0.138504155,30.10737911,30.2718528,30.10737911,0.164473684,2.695652174,3.173913043,16,3,19,0,0,16.72,7.34,0,3.09,0,0,0
50MAL2,50M,above,3710,2022,50,50,> 50,0,35.53398278,35.53398278,35.53398278,0,2.666666667,3.653846154,14,4,18,0,0,8.23,11.37,0.23,11.14,1.69,0,10.46875
50MBL1,50M,below,3675,2022,22,21,21 to 25,0.707872761,64.53110999,65.37170889,60.64248903,4.729219857,2.666666667,2.916666667,14,2,16,0,0,1.66,9.63,12.32,63.95,0,0,4.21875
50MBL2,50M,below,3605,2022,2,2,2,20.58450806,6.872974376,31.3170777,8.021965868,23.29511183,2.925,2.15,13,4,17,0,0,1.08,29.92,0,10.57,0,0,0
50MBL3,50M,below,3570,2022,1,2,2,1.110224474,16.96253402,18.28092558,7.658469168,10.62245641,2.857142857,1.428571429,7,3,10,0,0,1.52,15.27,2.05,32.39,8.14,0,0
7MAL1,7M,above,3735,2023,50,50,> 50,2.469331223,27.16316866,30.09549949,29.45483533,0.64066416,3.952380952,3.285714286,13,1,14,0,0,0,1.03,0,44.21,0,0,8.125
7MAL2,7M,above,3725,2023,50,50,> 50,13.72207404,45.80951924,62.10448215,47.17723604,14.92724611,2.964285714,3.320754717,15,1,16,0,0,5.58,15.94,0,11.6,0,0,0
7MBL1,7M,below,3680,2023,23,50,21 to 25,23.03326653,16.5994412,43.9514452,17.09667272,26.85477248,3.666666667,2.777777778,23,2,25,0,0,4.21,13.49,0,8.47,4.17,0,23.75
7MBL2,7M,below,3625,2023,6,11,11 to 13,7.593852454,27.34826787,36.36596766,29.57512692,6.790840737,3.266666667,2.651162791,10,2,12,0,0,3.32,38.2,9,21.31,2.37,0,0
7MBL3,7M,below,3570,2023,2,2,2,8.414876522,13.9831747,23.97584057,10.7417052,13.23413537,3.3,2.239130435,14,5,19,0,0,4.49,15.71,0,3.92,1.04,0,0
ARBL2,AR,below,3590,2023,3,3,4 to 7,4.051711412,27.66964025,32.48104755,23.10309211,9.377955444,3.5,1.952380952,6,8,14,0.29,0,2.12,24.58,0,10.48,1.03,0,0
CDBL1,CD,below,3630,2023,6,6,21 to 25,2.931866637,47.15698796,50.63857959,38.74870249,11.88987711,3.264705882,3.088235294,11,3,14,0,0,0.18,17.35,0,55.12,0.18,0,7.65625
CDBL2,CD,below,3570,2023,2,2,2,13.50262035,27.96641888,44.00078055,19.13979273,24.86098782,3.051724138,1.909090909,13,3,16,0,0,2.11,17.31,0,34.59,10.95,0,0
COAL1,CO,above,3720,2023,50,50,> 50,7.874710656,69.75050762,79.10172653,65.47367035,13.62805617,3.115942029,2.5,11,5,16,0,0,41.94,18.93,8.33,17.11,0,0,5.625
COAL2,CO,above,3710,2023,50,50,> 50,7.408395573,42.30211305,51.09958279,43.17259673,7.92698606,2.948275862,3.051724138,17,5,22,0,0,30.01,11.66,0,4.87,0.47,0,6.25
COBL1,CO,below,3660,2023,12,11,21 to 25,12.73985167,39.05462019,54.18319404,22.6962596,31.48693444,2.901960784,2.529411765,10,8,18,0,0,12.21,11.22,0,42.74,16.01,6.5,0
COBL2,CO,below,3630,2023,6,6,6,25.32184087,61.61381005,91.68349609,61.98220436,29.70129173,2.724137931,2.706896552,13,6,19,0,0,2.37,6.52,0,62.1,0,0,0
CWCAL1,CWC,above,3740,2022,50,50,> 50,17.04335429,40.07021419,60.30919741,29.97887775,30.33031966,3.590909091,2.75,7,5,12,0,0,20.61,14.83,5,1.79,6.3,0,2.34375
CWCAL2,CWC,above,3710,2022,50,50,> 50,12.84055786,54.31951229,69.56767476,50.359949,19.20772576,3.28,2.755102041,12,5,17,0,0,6.48,12.7,0,38.06,3.96,0,1.875
CWCBL1,CWC,below,3665,2022,21,21,21 to 25,2.856100652,9.98470113,13.37632065,5.353668795,8.022651859,4,1.9,12,9,21,0,1.35,6.73,17.09,0,37.49,2.83,0,4.6875
