site,location,ab,elevation,year,age,ageclassn,ageclass,annual,perennial,total,native,nonnative,wetland,conserve,nrich,nnrich,trich,forb,grass,shrub,vine,tree,crust
50MAL1,50M,above,3735,2022,50,50,> 50,0.263,48.172,48.435,48.172,0.263,2.696,3.174,16,3,19,1.364,12.313,32.909,0.000,1.849,0.000
50MAL2,50M,below,3705,2022,39,40,> 50,0.000,57.098,57.098,56.854,0.244,2.667,3.654,14,4,18,7.334,9.810,37.682,0.000,2.272,10.469
50MBL1,50M,below,3675,2022,22,25,21 to 25,0.841,64.531,65.372,60.642,4.729,2.667,2.917,14,2,16,4.529,12.375,43.777,0.000,4.691,4.219
50MBL2,50M,below,3605,2022,2,2,2,24.593,7.915,32.508,8.102,24.405,2.925,2.15,13,4,17,24.566,2.888,2.097,0.000,2.957,0.000
50MBL3,50M,below,3570,2022,1,1,1,1.467,18.004,19.471,7.506,11.965,2.857,1.429,7,3,10,5.637,3.126,10.709,0.000,0.000,0.000
7MAL1,7M,above,3735,2023,50,50,> 50,2.932,26.519,30.095,29.455,0.641,3.952,3.286,13,1,14,1.865,1.861,16.009,0.000,10.361,8.125
7MAL2,7M,above,3725,2023,50,50,> 50,23.702,59.053,83.008,61.295,21.712,2.964,3.321,15,1,16,12.259,44.323,15.996,10.219,0.211,0.000
7MBL1,7M,below,3680,2023,23,25,21 to 25,27.352,17.178,44.993,18.138,26.855,3.667,2.778,23,2,25,2.897,27.982,14.114,0.000,0.000,23.750
7MBL2,7M,below,3625,2023,6,6,6,9.018,27.047,36.366,29.575,6.791,3.267,2.651,10,2,12,0.943,26.177,9.246,0.000,0.000,0.000
7MBL3,7M,below,3570,2023,2,2,2,10.162,14.703,25.158,10.746,14.412,3.3,2.239,14,5,19,4.489,15.711,4.958,0.000,0.000,0.000
ARBL2,AR,below,3590,2023,3,4,3 to 4,9.623,55.339,64.962,46.206,18.756,3.5,1.952,6,8,14,2.115,17.308,45.539,0.000,0.000,0.000
CDBL1,CD,below,3630,2023,6,6,6,3.482,46.890,50.639,38.749,11.890,3.265,3.088,11,3,14,0.584,3.040,18.973,0.000,28.043,7.656
CDBL2,CD,below,3570,2023,2,2,2,16.034,26.359,44.001,18.091,25.910,3.052,1.909,13,3,16,17.405,18.827,7.769,0.000,0.000,0.000
COAL1,CO,above,3720,2023,50,50,> 50,29.702,48.902,79.102,45.123,33.979,3.116,2.5,11,5,16,12.606,31.621,17.614,0.000,17.260,5.625
COAL2,CO,above,3710,2023,50,50,> 50,12.187,45.846,58.033,46.841,11.192,2.948,3.052,17,5,22,6.711,18.865,19.546,1.162,11.748,6.250
COBL1,CO,below,3660,2023,12,12,11 to 12,15.129,42.158,58.274,26.787,31.487,2.902,2.529,10,8,18,3.076,19.520,32.362,0.000,3.315,0.000
COBL2,CO,below,3630,2023,6,6,6,30.070,61.093,91.683,61.982,29.701,2.724,2.707,13,6,19,2.795,33.103,28.383,0.000,27.402,0.000
CWCAL1,CWC,above,3740,2022,50,50,> 50,24.910,49.317,74.227,36.897,37.330,3.591,2.75,7,5,12,0.000,25.323,39.018,0.000,9.886,2.344
CWCAL2,CWC,above,3710,2022,50,50,> 50,16.265,57.941,74.206,53.717,20.488,3.28,2.755,12,5,17,3.317,38.202,23.687,0.000,9.000,1.875
CWCBL1,CWC,below,3665,2022,21,25,21 to 25,6.783,19.969,26.753,10.707,16.045,4,1.9,12,9,21,0.347,9.160,17.246,0.000,0.000,4.688
CWCBL2,CWC,below,3630,2022,5,6,6,12.725,60.277,73.002,42.052,30.950,3.12,2.02,4,3,7,2.990,25.695,44.317,0.000,0.000,2.344
CWCBL3,CWC,below,3580,2022,1,1,1,25.279,8.109,33.388,5.090,28.298,3.542,1.391,22,4,26,23.728,7.365,2.295,0.000,0.000,0.000
CWGBL1,CWG,below,3665,2022,21,25,21 to 25,6.920,64.523,71.443,58.084,13.358,2.889,3.057,28,2,30,2.813,33.949,34.681,0.000,0.000,0.000
CWGBL2,CWG,below,3610,2022,2,2,2,14.493,50.177,64.670,51.120,13.550,2.958,2.688,13,2,15,12.773,32.116,19.781,0.000,0.000,0.000
CWGBL3,CWG,below,3570,2022,1,1,1,61.251,20.494,81.745,11.454,70.291,1.934,1.508,17,3,20,6.051,75.694,0.000,0.000,0.000,0.000
ERAL1,ER,above,3710,2023,50,50,> 50,27.807,44.568,72.375,40.417,31.958,3.063,2.313,13,2,15,1.050,27.670,43.655,0.000,0.000,0.000
ERAL2,ER,below,3705,2023,40,40,40,11.607,61.217,72.824,61.217,11.607,2.967,3.533,12,1,13,0.179,17.352,55.294,0.000,0.000,0.000
ERBL1,ER,below,3685,2023,24,25,21 to 25,3.294,67.497,70.989,62.323,8.666,2.536,2.571,11,2,13,2.369,6.516,62.104,0.000,0.000,0.000
ERBL2,ER,below,3665,2023,22,25,21 to 25,16.496,73.030,90.271,73.775,16.496,2.848,2.242,8,2,10,0.992,16.925,72.354,0.000,0.000,0.000
EXAL1,EX,above,3750,2023,50,50,> 50,4.699,77.790,82.798,78.099,4.699,2.897,2.89,19,1,20,9.954,17.519,16.263,19.549,19.513,0.000
EXAL2,EX,above,3730,2023,50,50,> 50,8.930,73.069,81.999,73.234,8.765,2.644,2.964,17,3,20,10.011,40.342,13.069,12.005,6.572,0.000
EXBL1,EX,below,3670,2023,22,25,21 to 25,17.074,43.194,60.460,40.034,20.426,2.84,2.56,17,1,18,5.822,23.612,22.556,0.000,8.283,7.813
