canyon,abvblw,herbrich,woodyrich,nnrich,nrich,trich
50M,abv,7,6,1,12,13
50M,blw,21,7,6,22,28
50M,all,22,8,7,23,30
7M,abv,12,9,1,20,21
7M,blw,22,8,7,21,28
7M,all,25,13,6,32,38
AR,blw,7,3,2,6,8
CD,blw,15,7,5,17,22
CO,abv,24,11,8,27,35
CO,blw,15,8,6,17,23
CO,all,29,12,9,32,41
CWC,abv,17,9,5,21,26
CWC,blw,21,7,7,21,28
CWC,all,24,10,7,27,34
CWG,blw,27,6,8,25,33
ER,abv,9,6,3,12,15
ER,blw,12,10,4,18,22
ER,all,16,11,5,22,27
EX,abv,16,10,5,21,26
EX,blw,18,9,8,19,27
EX,all,23,15,8,30,38
FC,abv,16,7,5,18,23
FC,blw,12,6,4,14,18
FC,all,16,7,4,19,23
IC,abv,7,8,1,14,15
IC,blw,20,9,6,23,29
IC,all,22,13,7,28,35
K,blw,23,10,5,28,33
LC,abv,15,11,5,21,26
LC,blw,20,9,5,24,29
LC,all,22,13,8,23,31
MC,abv,14,9,6,17,23
MC,blw,17,7,6,17,23
MC,all,23,8,7,24,31
R,blw,9,5,3,11,14
RFC,abv,10,5,2,13,15
RFC,blw,24,9,8,25,33
RFC,all,28,12,8,32,40
S,blw,19,9,6,22,28
T,abv,9,6,2,13,15
T,blw,17,8,6,19,25
T,all,21,11,7,25,32
W,abv,17,8,5,20,25
W,blw,25,13,5,33,38
W,all,31,15,8,38,46
